FIPS,vets_2016
13029,"4,381"
13031,"4,528"
13033,"1,566"
13035,"1,586"
13037,292
13039,"7,448"
13043,842
13045,"6,847"
13047,"4,335"
13049,898
13051,"27,148"
13053,"1,637"
13055,"1,658"
13057,"15,112"
13059,"4,899"
13061,219
13063,"18,261"
13065,395
13067,"42,783"
13069,"2,257"
13071,"2,510"
13073,"16,193"
13075,"1,190"
13077,"11,344"
13079,"1,079"
13081,"1,300"
13083,"1,143"
13085,"1,961"
13087,"1,801"
13089,"37,785"
13091,"1,365"
13093,706
13095,"6,850"
13097,"10,792"
13099,626
13101,201
13103,"5,373"
13105,"1,328"
13107,"1,346"
13109,752
13111,"2,093"
13113,"10,574"
13115,"6,917"
13117,"10,083"
13119,"1,441"
13121,"45,734"
13123,"2,532"
13125,166
13127,"7,562"
13129,"3,369"
13131,"1,732"
13133,"1,297"
13135,"39,785"
13137,"2,897"
13139,"10,585"
13141,555
13143,"1,830"
13145,"3,406"
13147,"1,734"
13149,808
13151,"19,253"
13153,"20,464"
13155,640
13157,"4,562"
13159,922
13161,743
13163,"1,075"
13165,647
13167,494
13169,"2,070"
13171,"1,455"
13173,886
13175,"3,590"
13177,"2,528"
13179,"13,406"
13181,649
13183,"2,383"
13185,"9,871"
13187,"2,729"
13189,"1,573"
13191,"1,188"
13193,807
13195,"1,866"
13197,761
13199,"1,471"
13201,360
13205,"1,337"
13207,"2,029"
13209,431
13211,"1,241"
13213,"2,130"
13215,"24,128"
13217,"7,554"
13219,"1,927"
13221,"1,054"
13223,"10,324"
13225,"2,402"
13227,"2,611"
13229,"1,500"
13231,"1,328"
13233,"2,640"
13235,821
13237,"1,860"
13239,175
13241,"1,431"
13243,377
13245,"21,966"
13247,"6,752"
13249,306
13251,"1,036"
13253,749
13255,"4,735"
13257,"1,785"
13259,279
13261,"1,907"
13263,479
13265,127
13267,"1,656"
13269,468
13271,717
13273,603
13275,"3,393"
13277,"2,329"
13279,"1,866"
13281,"1,257"
13283,432
13285,"3,965"
13287,529
13289,650
13291,"2,437"
13293,"2,115"
13295,"4,705"
13297,"5,639"
13299,"2,862"
13301,321
13303,"1,253"
13305,"2,435"
13307,163
13309,316
13311,"2,454"
13313,"5,128"
13315,465
13317,780
13319,657
13321,"1,618"
15001,"15,647"
15003,"83,746"
15005,4
15007,"4,489"
15009,"9,058"
16001,"33,755"
16003,415
16005,"5,650"
16007,430
16009,950
16011,"2,400"
16013,"1,108"
16015,917
16017,"4,245"
16019,"6,985"
16021,"1,157"
16023,242
16025,106
16027,"14,064"
16029,401
16031,"1,061"
16033,29
16035,"1,061"
16037,358
16039,"4,300"
16041,583
16043,804
16045,"1,776"
16047,957
16049,"1,727"
16051,"1,246"
16053,"1,178"
16055,"13,552"
16057,"2,197"
16059,821
16061,347
16063,285
16065,937
16067,"1,071"
16069,"3,610"
16071,303
16073,745
16075,"1,809"
16077,453
16079,"1,271"
16081,312
16083,"5,619"
16085,"1,000"
16087,904
17001,"5,032"
17003,540
17005,"1,294"
17007,"2,896"
17009,368
17011,"2,540"
17013,385
17015,"1,412"
17017,955
17019,"10,005"
17021,"2,701"
17023,"1,295"
17025,852
17027,"3,055"
17029,"3,235"
17031,"182,804"
17033,"1,435"
17035,783
17037,"5,576"
17039,"1,234"
17041,"1,254"
17043,"35,196"
17045,"1,421"
17047,487
17049,"2,287"
17051,"1,479"
17053,988
17055,"3,268"
17057,"2,901"
17059,464
17061,"1,010"
17063,"3,190"
17065,496
17067,"1,525"
17069,305
17071,576
17073,"3,702"
17075,"2,013"
17077,"3,980"
17079,616
17081,"2,961"
17083,"1,987"
17085,"1,806"
17087,"1,091"
17089,"20,509"
17091,"7,584"
17093,"5,023"
17095,"4,220"
17097,"35,719"
17099,"9,662"
17101,"1,137"
17103,"2,560"
17105,"2,557"
17107,"2,067"
17109,"2,087"
17111,"15,579"
17113,"8,566"
17115,"8,104"
17117,"3,859"
17119,"22,664"
17121,"3,009"
17123,"1,008"
17125,"1,192"
17127,"1,216"
17129,"1,101"
17131,"1,289"
17133,"2,506"
17135,"2,358"
17137,"2,720"
17139,984
17141,"4,061"
17143,"12,094"
17145,"1,614"
17147,"1,214"
17149,"1,104"
17151,389
17153,500
17155,431
17157,"2,398"
17159,"1,191"
17161,"11,040"
17163,"28,409"
17165,"1,705"
17167,"14,821"
17169,608
17171,375
17173,"1,805"
17175,471
17177,"3,320"
17179,"10,274"
17181,"1,340"
17183,"6,068"
17185,959
17187,"1,249"
17189,"1,178"
17191,"1,187"
17193,"1,105"
17195,"4,426"
17197,"31,874"
17199,"5,706"
17201,"18,666"
17203,"2,680"
18001,"1,587"
18003,"21,561"
18005,"4,593"
18007,590
18009,"1,038"
18011,"3,184"
18013,"1,378"
18015,"1,527"
18017,"2,805"
18019,"8,790"
18021,"1,986"
18023,"2,042"
18025,791
18027,"1,973"
18029,"3,686"
18031,"1,587"
18033,"2,854"
18035,"7,055"
18037,"2,481"
18039,"9,672"
18041,"1,787"
18043,"5,542"
18045,"1,204"
18047,"1,245"
18049,"1,525"
18051,"2,327"
18053,"5,341"
18055,"2,833"
18057,"14,145"
18059,"5,492"
18061,"3,125"
18063,"10,198"
18065,"3,460"
18067,"6,416"
18069,"2,469"
18071,"2,858"
18073,"2,246"
18075,"1,328"
18077,"2,423"
18079,"2,020"
18081,"10,248"
18083,"2,614"
18085,"4,670"
18087,"1,397"
18089,"30,264"
18091,"8,041"
18093,"3,793"
18095,"9,200"
18097,"52,898"
18099,"2,936"
18101,899
18103,"3,281"
18105,"6,661"
18107,"2,542"
18109,"6,048"
18111,962
18113,"2,779"
18115,523
18117,"1,451"
18119,"1,681"
18121,"1,330"
18123,"1,384"
18125,893
18127,"10,494"
18129,"1,808"
18131,886
18133,"2,635"
18135,"1,849"
18137,"2,271"
18139,"1,143"
18141,"15,254"
18143,"1,650"
18145,"3,439"
18147,"1,735"
18149,"1,698"
18151,"2,262"
18153,"1,424"
18155,777
18157,"8,688"
18159,"1,204"
18161,557
18163,"13,792"
18165,"1,364"
18167,"7,607"
18169,"2,231"
18171,625
18173,"4,230"
18175,"2,190"
18177,"5,276"
18179,"1,711"
18181,"1,935"
18183,"2,184"
19001,583
19003,325
19005,"1,052"
19007,"1,020"
19009,461
19011,"2,072"
19013,"8,685"
19015,"2,106"
19017,"1,647"
19019,"1,494"
19021,"1,045"
19023,"1,010"
19025,842
19027,"1,442"
19029,"1,034"
19031,"1,519"
19033,"3,511"
19035,965
19037,945
19039,697
19041,"1,215"
19043,"1,363"
19045,"3,921"
19047,986
19049,"4,147"
19051,591
19053,478
19055,"1,062"
19057,"3,418"
19059,"1,319"
19061,"7,028"
19063,782
19065,"1,620"
19067,"1,342"
19069,706
19071,623
19073,750
19075,850
19077,839
19079,"1,212"
19081,852
19083,"1,268"
19085,"1,155"
19087,"1,455"
19089,664
19091,745
19093,573
19095,"1,197"
19097,"1,586"
19099,"2,620"
19101,"1,146"
19103,"6,279"
19105,"1,706"
19107,728
19109,"1,221"
19111,"3,065"
19113,"15,141"
19115,720
19117,687
19119,628
19121,"1,187"
19123,"1,400"
19125,"2,033"
19127,"2,974"
19129,"1,300"
19131,772
19133,892
19135,559
19137,891
19139,"2,484"
19141,"1,136"
19143,460
19145,"1,223"
19147,683
19149,"1,887"
19151,669
19153,"26,910"
19155,"7,262"
19157,"1,280"
19159,376
19161,866
19163,"12,651"
19165,"1,004"
19167,"1,536"
19169,"4,216"
19171,"1,286"
19173,463
19175,920
19177,624
19179,"2,593"
19181,"3,516"
19183,"1,521"
19185,535
19187,"2,798"
19189,750
19191,"1,309"
19193,"6,900"
19195,640
19197,896
20001,"1,035"
20003,554
20005,"1,082"
20007,311
20009,"1,846"
20011,978
20013,816
20015,"5,098"
20017,241
20019,273
20021,"1,456"
20023,233
20025,152
20027,"1,007"
20029,718
20031,682
20033,133
20035,"2,411"
20037,"2,273"
20039,239
20041,"2,131"
20043,596
20045,"5,300"
20047,202
20049,278
20051,"1,514"
20053,426
20055,"1,105"
20057,"1,151"
20059,"1,697"
20061,"7,085"
20063,164
20065,182
20067,233
20069,191
20071,58
20073,544
20075,112
20077,365
20079,"1,970"
20081,128
20083,163
20085,"1,196"
20087,"1,454"
20089,306
20091,"30,752"
20093,182
