County,County Code,Deaths,Population,Crude Rate,num_rate
"Jefferson County, MO",29099,16,198099,8.1 (Unreliable),8.1
"St. Charles County, MO",29183,12,283883,4.2 (Unreliable),4.2
"St. Louis County, MO",29189,51,1016315,5,5
"St. Louis city, MO",29510,45,348189,12.9,12.9
"Douglas County, NE",31055,17,463585,3.7 (Unreliable),3.7
"Lancaster County, NE",31109,10,250291,4.0 (Unreliable),4
"Clark County, NV",32003,195,1375765,14.2,14.2
"Washoe County, NV",32031,54,339486,15.9,15.9
"Hillsborough County, NH",33011,11,380841,2.9 (Unreliable),2.9
"Atlantic County, NJ",34001,25,252552,9.9,9.9
"Bergen County, NJ",34003,60,884118,6.8,6.8
"Burlington County, NJ",34005,30,423394,7.1,7.1
"Camden County, NJ",34007,70,508932,13.8,13.8
"Essex County, NJ",34013,77,793633,9.7,9.7
"Gloucester County, NJ",34015,32,254673,12.6,12.6
"Hudson County, NJ",34017,35,608975,5.7,5.7
"Mercer County, NJ",34021,23,350761,6.6,6.6
"Middlesex County, NJ",34023,61,750162,8.1,8.1
"Monmouth County, NJ",34025,43,615301,7,7
"Morris County, NJ",34027,30,470212,6.4,6.4
"Ocean County, NJ",34029,41,510916,8,8
"Passaic County, NJ",34031,41,489049,8.4,8.4
"Somerset County, NJ",34035,10,297490,3.4 (Unreliable),3.4
"Union County, NJ",34039,32,522541,6.1,6.1
"Bernalillo County, NM",35001,116,556678,20.8,20.8
"Chaves County, NM",35005,10,61382,16.3 (Unreliable),16.3
"Dona Ana County, NM",35013,13,174682,7.4 (Unreliable),7.4
"Rio Arriba County, NM",35039,16,41190,38.8 (Unreliable),38.8
"San Juan County, NM",35045,12,113801,10.5 (Unreliable),10.5
"Santa Fe County, NM",35049,23,129292,17.8,17.8
"Bronx County, NY",36005,141,1332650,10.6,10.6
"Erie County, NY",36029,10,950265,1.1 (Unreliable),1.1
"Kings County, NY",36047,193,2465326,7.8,7.8
"Monroe County, NY",36055,11,735343,1.5 (Unreliable),1.5
"Nassau County, NY",36059,13,1334544,1.0 (Unreliable),1
"New York County, NY",36061,139,1537195,9,9
"Onondaga County, NY",36067,11,458336,2.4 (Unreliable),2.4
"Queens County, NY",36081,107,2229379,4.8,4.8
"Richmond County, NY",36085,29,443728,6.5,6.5
"Suffolk County, NY",36103,28,1419369,2,2
"Westchester County, NY",36119,15,923459,1.6 (Unreliable),1.6
"Buncombe County, NC",37021,20,206330,9.7,9.7
"Burke County, NC",37023,10,89148,11.2 (Unreliable),11.2
"Cleveland County, NC",37045,13,96287,13.5 (Unreliable),13.5
"Cumberland County, NC",37051,13,302963,4.3 (Unreliable),4.3
"Davidson County, NC",37057,10,147246,6.8 (Unreliable),6.8
"Durham County, NC",37063,14,223314,6.3 (Unreliable),6.3
"Forsyth County, NC",37067,24,306067,7.8,7.8
"Gaston County, NC",37071,24,190365,12.6,12.6
"Guilford County, NC",37081,29,421048,6.9,6.9
"Mecklenburg County, NC",37119,34,695454,4.9,4.9
"New Hanover County, NC",37129,13,160307,8.1 (Unreliable),8.1
"Rowan County, NC",37159,11,130340,8.4 (Unreliable),8.4
"Rutherford County, NC",37161,11,62899,17.5 (Unreliable),17.5
"Wake County, NC",37183,29,627846,4.6,4.6
"Butler County, OH",39017,14,332807,4.2 (Unreliable),4.2
"Clark County, OH",39023,13,144742,9.0 (Unreliable),9
"Cuyahoga County, OH",39035,100,1393978,7.2,7.2
"Franklin County, OH",39049,51,1068978,4.8,4.8
"Hamilton County, OH",39061,52,845303,6.2,6.2
"Lake County, OH",39085,10,227511,4.4 (Unreliable),4.4
"Lorain County, OH",39093,11,284664,3.9 (Unreliable),3.9
"Lucas County, OH",39095,41,455054,9,9
"Mahoning County, OH",39099,16,257555,6.2 (Unreliable),6.2
"Montgomery County, OH",39113,62,559062,11.1,11.1
"Stark County, OH",39151,13,378098,3.4 (Unreliable),3.4
"Summit County, OH",39153,19,542899,3.5 (Unreliable),3.5
"Trumbull County, OH",39155,16,225116,7.1 (Unreliable),7.1
"Cleveland County, OK",40027,17,208016,8.2 (Unreliable),8.2
"Oklahoma County, OK",40109,63,660448,9.5,9.5
"Tulsa County, OK",40143,55,563299,9.8,9.8
"Clackamas County, OR",41005,18,338391,5.3 (Unreliable),5.3
"Jackson County, OR",41029,10,181269,5.5 (Unreliable),5.5
"Klamath County, OR",41035,12,63775,18.8 (Unreliable),18.8
"Lane County, OR",41039,28,322959,8.7,8.7
"Marion County, OR",41047,13,284834,4.6 (Unreliable),4.6
"Multnomah County, OR",41051,57,660486,8.6,8.6
"Washington County, OR",41067,25,445342,5.6,5.6
"Allegheny County, PA",42003,138,1281666,10.8,10.8
"Berks County, PA",42011,10,373638,2.7 (Unreliable),2.7
"Blair County, PA",42013,13,129144,10.1 (Unreliable),10.1
"Bucks County, PA",42017,62,597635,10.4,10.4
